,location,beds,price,baths,half_baths
673,Null,2,995.0,1,0
674,Null,2,995.0,1,0
675,Null,3,597.0,1,0
676,Null,2,995.0,1,0
677,West,2,595.0,1,0
678,Null,3,519.0,1,0
679,Null,4,999.0,1,0
680,North,2,999.0,1,0
681,Null,3,594.5,1,0
682,East,2,100.0,1,0
683,East,2,0.0,1,0
684,East,2,0.0,1,0
685,East,2,0.0,1,0
686,West,2,0.0,1,0
687,East,2,0.0,1,0
688,East,2,0.0,1,0
689,East,2,0.0,1,0
690,South,5,0.0,1,1
691,Null,2,0.0,1,0
692,East,0,0.0,1,0
693,East,3,0.0,1,0
694,Null,2,0.0,1,0
695,North,2,0.0,1,0
696,West,2,100.0,1,0
697,West,2,100.0,1,0
698,West,2,100.0,1,0
699,West,2,100.0,1,0
700,West,2,100.0,1,0
701,West,2,100.0,1,0
702,West,2,100.0,1,0
703,West,2,100.0,1,0
704,West,2,100.0,1,0
705,Null,2,5.0,1,0
706,North,3,15.0,1,0
707,North,1,10.0,1,0
708,West,2,10.0,1,0
709,Null,2,12.0,1,0
710,Null,1,15.0,1,0
711,East,4,40.0,1,0
712,East,2,20.0,1,0
713,West,2,25.0,1,0
714,Null,2,25.0,1,0
715,Null,2,25.0,1,0
716,North,1,25.0,1,0
717,Null,2,25.0,1,0
718,East,2,30.0,1,0
719,East,2,30.0,1,0
720,East,2,30.0,1,0
721,East,2,30.0,1,0
722,East,2,30.0,1,0
723,East,2,30.0,1,0
724,East,2,30.0,1,0
725,East,1,30.0,1,0
726,East,1,30.0,1,0
727,East,1,30.0,1,0
728,East,1,30.0,1,0
729,Null,1,35.0,1,0
730,East,2,35.0,1,0
731,East,2,35.0,1,0
732,East,2,35.0,1,0
733,West,2,38.0,1,0
734,Null,2,39.0,1,0
735,East,2,40.0,1,0
736,East,3,62.5,1,0
737,West,2,40.0,1,0
738,North,1,40.0,1,1
739,North,1,45.0,1,0
740,Null,2,47.0,1,0
741,Null,2,50.0,1,0
742,East,2,50.0,1,0
743,Null,2,80.0,1,0
744,East,2,50.0,1,0
745,East,2,50.0,1,0
746,North,1,50.0,1,0
747,Null,2,50.0,1,0
748,North,2,50.0,1,0
749,Null,1,50.0,1,0
750,Null,1,55.0,1,0
751,Null,2,60.0,1,0
752,Null,2,60.0,1,0
753,East,2,60.0,1,0
754,East,2,60.0,1,0
755,East,2,60.0,1,0
756,East,2,60.0,1,0
757,East,2,60.0,1,0
758,East,2,60.0,1,0
759,West,2,160.0,1,0
760,West,0,65.0,1,0
761,West,2,65.0,1,0
762,West,2,65.0,1,0
763,West,2,65.0,1,0
764,West,2,65.0,1,0
765,West,2,65.0,1,0
766,West,2,65.0,1,0
767,West,2,65.0,1,0
768,West,2,65.0,1,0
769,West,2,65.0,1,0
770,West,2,65.0,1,0
771,West,2,65.0,1,0
772,West,2,65.0,1,0
773,West,2,65.0,1,0
774,West,2,65.0,1,0
775,West,2,65.0,1,0
776,West,2,65.0,1,0
777,West,2,65.0,1,0
778,West,2,65.0,1,0
779,West,2,65.0,1,0
780,West,2,825.0,1,0
781,West,2,65.0,1,0
782,West,2,65.0,1,0
783,West,2,65.0,1,0
784,West,2,65.0,1,0
785,West,2,65.0,1,0
786,West,2,65.0,1,0
787,West,2,65.0,1,0
788,West,2,65.0,1,0
789,West,2,65.0,1,0
790,West,2,65.0,1,0
