location_name_shorthand,beds,baths,price,Furnished,Parking,Laundry
West,3,1,1950,No,Yes,building
West,2,1,1235,No,Yes,building
West,3,1,1835,No,Yes,building
West,2,1,1160,No,Yes,building
West,2,1,1935,No,Yes,building
West,2,1,1205,No,Yes,building
West,2,1,1205,No,Yes,building
West,3,1,1950,No,Yes,building
East,4,1,1700,No,No,unit
East,1,1,0,No,No,
North,Studio,1,940,Yes,No,
North,Studio,1,940,Yes,No,
North,Studio,1,1295,Yes,No,
North,Studio,1,1295,Yes,No,
North,Studio,1,710,Yes,No,
North,Studio,1,710,Yes,No,
North,Studio,1,960,Yes,No,
North,Studio,1,960,Yes,No,
Null,10,4,0,No,No,
Null,11,4,0,No,No,
West,4,1,0,No,No,
West,9,3,0,No,No,
West,4,2,0,No,Yes,building
Null,6,4,0,No,No,
Null,7,1,0,No,No,
Null,5,1,1500,No,No,unit
West,3,1,1590,No,No,building
West,4,2,2100,No,No,building
West,3,1,1380,No,No,building
West,2,1,750,No,No,
Null,1,1,0,No,No,
Null,3,1,0,No,No,
East,8,3,0,No,No,
East,3,1,2005,No,No,building
East,3,1,2005,No,No,building
East,5,1,2135,No,No,building
East,5,1,2135,No,No,building
East,5,1,2340,No,No,building
East,8,3,0,No,No,
West,4,1,0,No,No,
East,3,1,1920,No,No,building
East,4,1,2560,No,No,building
Null,3,1,1600,No,No,unit
East,6,7,4000,No,No,unit
East,6,7,4000,No,No,unit
East,6,7,4000,No,No,unit
Null,Studio,1,0,No,No,
East,Studio,1,0,No,No,
East,Studio,1,0,No,No,
West,3,1,1500,No,Yes,building
Null,5,2,3200,No,Yes,unit
Null,5,2,3200,No,No,unit
Null,4,2,2600,No,Yes,building
Null,1,1,0,No,Yes,
Null,2,1,0,No,Yes,
Null,2,2,0,No,Yes,
North,6,4,3600,,,
East,1,1,0,No,No,
East,1,1,0,No,No,
East,2,1,550,No,No,
East,1,1,655,No,Yes,building
East,2,1,1200,No,Yes,building
Null,2,1,0,,,
Null,4,1,0,,,
Null,1,1,None,,,
Null,5,1.5,3100,No,No,building
Null,4,2,2580,No,No,building
Null,Studio,1,620,No,No,building
Null,3,4,0,No,No,
Null,4,4,0,No,No,
East,Studio,1,0,No,No,
Null,3,1,400,No,No,building
Null,6,1,0,No,No,building
Null,3,2,1485,No,No,
Null,3,2,1485,No,No,
Null,3,2,1485,No,No,
Null,3,2,1485,No,No,
Null,3,2,1485,No,No,
Null,3,1,1550,No,No,
Null,5,1,2100,No,Yes,building
Null,3,3,0,No,No,building
North,3,2,0,Yes,Yes,
North,4,2,0,Yes,Yes,
North,4,4,0,Yes,Yes,
North,5,4,0,Yes,Yes,
North,4,4,0,Yes,Yes,
North,2,2,0,Yes,Yes,
North,4,4,0,Yes,Yes,
North,5,3,0,Yes,Yes,
North,2,2,0,Yes,Yes,
North,5,3,0,Yes,Yes,
North,3,2,0,Yes,Yes,
North,5,3,0,Yes,Yes,
North,4,4,0,Yes,Yes,
North,3,2,0,Yes,Yes,
North,4,3,0,Yes,Yes,
North,4,4,0,Yes,Yes,
North,5,4,0,Yes,Yes,
North,4,4,0,Yes,Yes,
North,2,2,0,Yes,Yes,
North,4,4,0,Yes,Yes,
North,5,3,0,Yes,Yes,
North,2,2,0,Yes,Yes,
North,5,3,0,Yes,Yes,
North,3,2,0,Yes,Yes,
North,5,3,0,Yes,Yes,
North,4,4,0,Yes,Yes,
North,3,2,0,Yes,Yes,
North,2,2,0,Yes,Yes,
North,4,4,0,Yes,Yes,
North,5,4,0,Yes,Yes,
North,4,4,0,Yes,Yes,
North,2,2,0,Yes,Yes,
North,4,4,0,Yes,Yes,
North,4,3,0,Yes,Yes,
North,3,3,0,Yes,Yes,
North,3,3,0,Yes,Yes,
North,3,3,0,Yes,Yes,
North,3,2,0,Yes,Yes,
North,4,4,0,Yes,Yes,
North,3,2,0,Yes,Yes,
North,4,4,0,Yes,Yes,
North,1,1,0,Yes,Yes,
North,4,4,0,Yes,Yes,
North,5,4,0,Yes,Yes,
North,2,2,0,Yes,Yes,
